CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
25648000,SANCHEZ ST,JERSEY ST,,,,JERSEY ST intersection,,29109
25645000,SANCHEZ ST,25TH ST,,,,25TH ST intersection,,29111
25644000,SANCHEZ ST,CLIPPER ST,,,,CLIPPER ST intersection,,29113
21922000,SANCHEZ ST,26TH ST,,,,26TH ST intersection,,29115
21921000,SANCHEZ ST,CESAR CHAVEZ ST,,,,CESAR CHAVEZ ST intersection,,29117
21920000,SANCHEZ ST,27TH ST,,,,27TH ST intersection,,29119
21918000,SANCHEZ ST,DUNCAN ST,,,,DUNCAN ST intersection,,29121
21913000,SANCHEZ ST,28TH ST,,,,28TH ST intersection,,29123
21912000,SANCHEZ ST,VALLEY ST,,,,VALLEY ST intersection,,29125
21910000,SANCHEZ ST,29TH ST,,,,29TH ST intersection,,29127
21909000,SANCHEZ ST,DAY ST,,,,DAY ST intersection,,29129
21886000,SANCHEZ ST,30TH ST,,,,30TH ST intersection,,29131
21907000,SANCHEZ ST,30TH ST,,,,30TH ST intersection,,29132
21887000,SANCHEZ ST,RANDALL ST,,,,RANDALL ST intersection,,29134
20262000,SANDPIPER COVE WAY,EXECUTIVE PARK BLVD \ THOMAS MELLON DR,,,,EXECUTIVE PARK BLVD \ THOMAS MELLON DR intersection,,29135
54218000,SANDPIPER COVE WAY,END,,,,END intersection,,29137
54217000,SANDPIPER COVE WAY,END,,,,END intersection,,29138
54219000,SANDPIPER COVE WAY,END,,,,END intersection,,29141
30048000,SANSOME ST,SUTTER ST,,,,SUTTER ST intersection,,29142
24679000,SANSOME ST,BUSH ST,,,,BUSH ST intersection,,29144
24686000,SANSOME ST,PINE ST,,,,PINE ST intersection,,29146
24685000,SANSOME ST,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,29148
24689000,SANSOME ST,HALLECK ST,,,,HALLECK ST intersection,,29150
24701000,SANSOME ST,SACRAMENTO ST,,,,SACRAMENTO ST intersection,,29152
24700000,SANSOME ST,COMMERCIAL ST,,,,COMMERCIAL ST intersection,,29154
24703000,SANSOME ST,CLAY ST,,,,CLAY ST intersection,,29156
24704000,SANSOME ST,MARK TWAIN PL \ MERCHANT ST,,,,MARK TWAIN PL \ MERCHANT ST intersection,,29158
24711000,SANSOME ST,WASHINGTON ST,,,,WASHINGTON ST intersection,,29160
24712000,SANSOME ST,JACKSON ST,,,,JACKSON ST intersection,,29162
24713000,SANSOME ST,GOLD ST,,,,GOLD ST intersection,,29164
24760000,SANSOME ST,PACIFIC AVE,,,,PACIFIC AVE intersection,,29166
30039000,SANSOME ST,BROADWAY,,,,BROADWAY intersection,,29168
24820000,SANSOME ST,VALLEJO ST,,,,VALLEJO ST intersection,,29170
24822000,SANSOME ST,GREEN ST,,,,GREEN ST intersection,,29172
24833000,SANSOME ST,UNION ST,,,,UNION ST intersection,,29174
30718000,SANSOME ST,FILBERT ST,,,,FILBERT ST intersection,,29176
24867000,SANSOME ST,GREENWICH ST,,,,GREENWICH ST intersection,,29178
24870000,SANSOME ST,LOMBARD ST,,,,LOMBARD ST intersection,,29180
34013000,SANSOME ST,CHESTNUT ST \ THE EMBARCADERO,,,,CHESTNUT ST \ THE EMBARCADERO intersection,,29182
22943000,SANTA ANA AVE,14TH AVE \ PORTOLA DR \ SAN ANSELMO AVE,,,,14TH AVE \ PORTOLA DR \ SAN ANSELMO AVE intersection,,29183
22931000,SANTA ANA AVE,SAINT FRANCIS BLVD,,,,SAINT FRANCIS BLVD intersection,,29185
22929000,SANTA ANA AVE,MONTEREY BLVD,,,,MONTEREY BLVD intersection,,29187
22773000,SANTA ANA AVE,DARIEN WAY,,,,DARIEN WAY intersection,,29189
22789000,SANTA ANA AVE,OCEAN AVE,,,,OCEAN AVE intersection,,29191
33443000,SANTA BARBARA AVE,HEAD ST,,,,HEAD ST intersection,,29192
51138000,SANTA BARBARA AVE,END,,,,END intersection,,29194
22924000,SANTA CLARA AVE,PORTOLA DR \ VICENTE ST,,,,PORTOLA DR \ VICENTE ST intersection,,29195
22916000,SANTA CLARA AVE,SANTA MONICA WAY \ YERBA BUENA AVE,,,,SANTA MONICA WAY \ YERBA BUENA AVE intersection,,29197
22917000,SANTA CLARA AVE,TERRACE DR,,,,TERRACE DR intersection,,29199
22914000,SANTA CLARA AVE,SAN ANSELMO AVE,,,,SAN ANSELMO AVE intersection,,29201
22910000,SANTA CLARA AVE,SAINT FRANCIS BLVD,,,,SAINT FRANCIS BLVD intersection,,29203
22903000,SANTA CLARA AVE,MONTEREY BLVD \ SAN ANSELMO AVE,,,,MONTEREY BLVD \ SAN ANSELMO AVE intersection,,29205
22513000,SANTA CRUZ AVE,DE LONG ST,,,,DE LONG ST intersection,,29206
51137000,SANTA CRUZ AVE,END,,,,END intersection,,29208
20744000,SANTA FE AVE,SILVER AVE,,,,SILVER AVE intersection,,29209
20738000,SANTA FE AVE,QUINT ST,,,,QUINT ST intersection,,29211
21264000,SANTA MARINA ST,BROOK ST \ MISSION ST,,,,BROOK ST \ MISSION ST intersection,,29212
21262000,SANTA MARINA ST,GLADYS ST,,,,GLADYS ST intersection,,29214
21261000,SANTA MARINA ST,PROSPECT AVE,,,,PROSPECT AVE intersection,,29216
21251000,SANTA MARINA ST,ELSIE ST,,,,ELSIE ST intersection,,29218
32999000,SANTA MONICA WAY,PORTAL PATH,,,,PORTAL PATH intersection,,29219
22919000,SANTA MONICA WAY,SAN LORENZO WAY,,,,SAN LORENZO WAY intersection,,29221
22922000,SANTA MONICA WAY,END,,,,END intersection,,29222
22916000,SANTA MONICA WAY,SANTA CLARA AVE \ YERBA BUENA AVE,,,,SANTA CLARA AVE \ YERBA BUENA AVE intersection,,29224
22918000,SANTA MONICA WAY,SAN LORENZO WAY,,,,SAN LORENZO WAY intersection,,29227
22833000,SANTA MONICA WAY,SANTA PAULA AVE,,,,SANTA PAULA AVE intersection,,29229
22831000,SANTA MONICA WAY,SAN PABLO AVE,,,,SAN PABLO AVE intersection,,29231
22836000,SANTA PAULA AVE,PORTOLA DR,,,,PORTOLA DR intersection,,29232
22833000,SANTA PAULA AVE,SANTA MONICA WAY,,,,SANTA MONICA WAY intersection,,29234
22821000,SANTA PAULA AVE,TERRACE WALK \ YERBA BUENA AVE,,,,TERRACE WALK \ YERBA BUENA AVE intersection,,29236
22819000,SANTA PAULA AVE,SAN JACINTO WAY,,,,SAN JACINTO WAY intersection,,29237
33007000,SANTA PAULA AVE,SAN ANSELMO AVE \ TERRACE WALK,,,,SAN ANSELMO AVE \ TERRACE WALK intersection,,29239
22977000,SANTA RITA AVE,SOTELO AVE,,,,SOTELO AVE intersection,,29241
22978000,SANTA RITA AVE,MESA AVE,,,,MESA AVE intersection,,29243
22974000,SANTA RITA AVE,SAN MARCOS AVE,,,,SAN MARCOS AVE intersection,,29245
35042000,SANTA RITA AVE,SAN MARCOS AVE,,,,SAN MARCOS AVE intersection,,29247
21773000,SANTA ROSA AVE,MISSION ST,,,,MISSION ST intersection,,29248
21772000,SANTA ROSA AVE,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,29250
21801000,SANTA ROSA AVE,CAYUGA AVE,,,,CAYUGA AVE intersection,,29252
21802000,SANTA ROSA AVE,CAPISTRANO AVE,,,,CAPISTRANO AVE intersection,,29254
22123000,SANTA ROSA AVE,SAN GABRIEL AVE,,,,SAN GABRIEL AVE intersection,,29256
22128000,SANTA ROSA AVE,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,29258
51067000,SANTA ROSA AVE,END,,,,END intersection,,29260
33404000,SANTA ROSA AVE,OLORAN AVE,,,,OLORAN AVE intersection,,29262
21757000,SANTA YNEZ AVE,OCEAN AVE,,,,OCEAN AVE intersection,,29263
33020000,SANTA YNEZ AVE,CAYUGA AVE,,,,CAYUGA AVE intersection,,29265
22067000,SANTA YNEZ AVE,CAPISTRANO AVE,,,,CAPISTRANO AVE intersection,,29267
22073000,SANTA YNEZ AVE,OTSEGO AVE,,,,OTSEGO AVE intersection,,29269
22110000,SANTA YNEZ AVE,DELANO AVE,,,,DELANO AVE intersection,,29271
22115000,SANTA YNEZ AVE,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,29273
21803000,SANTA YSABEL AVE,CAPISTRANO AVE,,,,CAPISTRANO AVE intersection,,29274
22109000,SANTA YSABEL AVE,OTSEGO AVE,,,,OTSEGO AVE intersection,,29276
22111000,SANTA YSABEL AVE,DELANO AVE,,,,DELANO AVE intersection,,29278
33607000,SANTA YSABEL AVE,UNNAMED 041,,,,UNNAMED 041 intersection,,29280
22112000,SANTA YSABEL AVE,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,29282
32888000,SANTIAGO ST,14TH AVE,,,,14TH AVE intersection,,29283
22994000,SANTIAGO ST,15TH AVE,,,,15TH AVE intersection,,29285
23186000,SANTIAGO ST,CECILIA AVE,,,,CECILIA AVE intersection,,29287
23181000,SANTIAGO ST,16TH AVE,,,,16TH AVE intersection,,29289
23184000,SANTIAGO ST,17TH AVE,,,,17TH AVE intersection,,29291
23185000,SANTIAGO ST,18TH AVE,,,,18TH AVE intersection,,29293
23196000,SANTIAGO ST,19TH AVE,,,,19TH AVE intersection,,29295
23197000,SANTIAGO ST,20TH AVE,,,,20TH AVE intersection,,29297
23200000,SANTIAGO ST,21ST AVE,,,,21ST AVE intersection,,29299
23201000,SANTIAGO ST,22ND AVE,,,,22ND AVE intersection,,29301
23262000,SANTIAGO ST,24TH AVE,,,,24TH AVE intersection,,29303
23265000,SANTIAGO ST,25TH AVE,,,,25TH AVE intersection,,29305
23266000,SANTIAGO ST,26TH AVE,,,,26TH AVE intersection,,29307
23278000,SANTIAGO ST,27TH AVE,,,,27TH AVE intersection,,29309
23280000,SANTIAGO ST,28TH AVE,,,,28TH AVE intersection,,29311
23285000,SANTIAGO ST,29TH AVE,,,,29TH AVE intersection,,29313
23284000,SANTIAGO ST,30TH AVE,,,,30TH AVE intersection,,29315
23388000,SANTIAGO ST,31ST AVE,,,,31ST AVE intersection,,29317
23390000,SANTIAGO ST,32ND AVE,,,,32ND AVE intersection,,29319
23393000,SANTIAGO ST,33RD AVE,,,,33RD AVE intersection,,29321
23394000,SANTIAGO ST,34TH AVE,,,,34TH AVE intersection,,29323
23404000,SANTIAGO ST,35TH AVE,,,,35TH AVE intersection,,29325
23405000,SANTIAGO ST,36TH AVE,,,,36TH AVE intersection,,29327
23407000,SANTIAGO ST,SUNSET BLVD,,,,SUNSET BLVD intersection,,29329
23408000,SANTIAGO ST,37TH AVE,,,,37TH AVE intersection,,29331
23409000,SANTIAGO ST,38TH AVE,,,,38TH AVE intersection,,29333
23464000,SANTIAGO ST,39TH AVE,,,,39TH AVE intersection,,29335
23467000,SANTIAGO ST,40TH AVE,,,,40TH AVE intersection,,29337
23468000,SANTIAGO ST,41ST AVE,,,,41ST AVE intersection,,29339
23474000,SANTIAGO ST,42ND AVE,,,,42ND AVE intersection,,29341
23475000,SANTIAGO ST,43RD AVE,,,,43RD AVE intersection,,29343
23478000,SANTIAGO ST,44TH AVE,,,,44TH AVE intersection,,29345
23479000,SANTIAGO ST,45TH AVE,,,,45TH AVE intersection,,29347
23507000,SANTIAGO ST,46TH AVE,,,,46TH AVE intersection,,29349
23508000,SANTIAGO ST,47TH AVE,,,,47TH AVE intersection,,29351
23511000,SANTIAGO ST,48TH AVE,,,,48TH AVE intersection,,29353
23513000,SANTIAGO ST,GREAT HWY,,,,GREAT HWY intersection,,29355
20433000,SANTOS ST,SUNNYDALE AVE,,,,SUNNYDALE AVE intersection,,29356
20432000,SANTOS ST,BROOKDALE AVE,,,,BROOKDALE AVE intersection,,29358
20423000,SANTOS ST,BLYTHDALE AVE,,,,BLYTHDALE AVE intersection,,29360
20425000,SANTOS ST,VELASCO AVE,,,,VELASCO AVE intersection,,29362
20421000,SANTOS ST,GENEVA AVE,,,,GENEVA AVE intersection,,29364
22500000,SARGENT ST,ORIZABA AVE,,,,ORIZABA AVE intersection,,29365
52060000,SARGENT ST,END,,,,END intersection,,29367
22598000,SARGENT ST,BRIGHT ST,,,,BRIGHT ST intersection,,29369
22690000,SARGENT ST,HEAD ST,,,,HEAD ST intersection,,29371
22693000,SARGENT ST,VICTORIA ST,,,,VICTORIA ST intersection,,29373
22694000,SARGENT ST,RAMSELL ST,,,,RAMSELL ST intersection,,29375
22695000,SARGENT ST,ARCH ST,,,,ARCH ST intersection,,29377
22715000,SARGENT ST,VERNON ST,,,,VERNON ST intersection,,29379
22716000,SARGENT ST,RALSTON ST,,,,RALSTON ST intersection,,29381
22720000,SARGENT ST,BYXBEE ST,,,,BYXBEE ST intersection,,29383
22724000,SARGENT ST,MONTICELLO ST,,,,MONTICELLO ST intersection,,29385
22551000,SARGENT ST,19TH AVE \ BEVERLY ST \ RANDOLPH ST,,,,19TH AVE \ BEVERLY ST \ RANDOLPH ST intersection,,29387
24794000,SAROYAN PL,COLUMBUS AVE \ JACK KEROUAC ALY,,,,COLUMBUS AVE \ JACK KEROUAC ALY intersection,,29388
50164000,SAROYAN PL,END,,,,END intersection,,29390
33579000,SATURN ST,ORD ST,,,,ORD ST intersection,,29391
50586000,SATURN ST,END,,,,END intersection,,29393
26171000,SATURN ST,LOWER TER,,,,LOWER TER intersection,,29395
26203000,SATURN ST,TEMPLE ST,,,,TEMPLE ST intersection,,29397
26204000,SATURN ST,ROOSEVELT WAY,,,,ROOSEVELT WAY intersection,,29399
52226000,SAUL ST,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,29400
52016000,SAUL ST,CASE ST,,,,CASE ST intersection,,29402
52017000,SAUL ST,HUNTER ST,,,,HUNTER ST intersection,,29404
52015000,SAUL ST,BARNEVELD AVE,,,,BARNEVELD AVE intersection,,29406
20395000,SAWYER ST,RAYMOND AVE,,,,RAYMOND AVE intersection,,29407
20394000,SAWYER ST,LELAND AVE,,,,LELAND AVE intersection,,29409
20410000,SAWYER ST,VISITACION AVE,,,,VISITACION AVE intersection,,29411
20407000,SAWYER ST,SUNNYDALE AVE,,,,SUNNYDALE AVE intersection,,29413
20404000,SAWYER ST,SUNRISE WAY,,,,SUNRISE WAY intersection,,29415
20402000,SAWYER ST,CALGARY ST \ VELASCO AVE,,,,CALGARY ST \ VELASCO AVE intersection,,29417
27663000,SCENIC WAY,25TH AVE,,,,25TH AVE intersection,,29418
27669000,SCENIC WAY,26TH AVE,,,,26TH AVE intersection,,29420
51341000,SCHOFIELD RD,PARK BLVD,,,,PARK BLVD intersection,,29421
51498000,SCHOFIELD RD,APPLETON ST,,,,APPLETON ST intersection,,29423
35036000,SCHOOL ALY,MONTGOMERY ST,,,,MONTGOMERY ST intersection,,29424
50154000,SCHOOL ALY,END,,,,END intersection,,29426
20380000,SCHWERIN ST,LELAND AVE,,,,LELAND AVE intersection,,29427
20372000,SCHWERIN ST,VISITACION AVE,,,,VISITACION AVE intersection,,29429
20371000,SCHWERIN ST,SUNNYDALE AVE,,,,SUNNYDALE AVE intersection,,29431
54119000,SCHWERIN ST,TOWERSIDE AVE,,,,TOWERSIDE AVE intersection,,29433
54121000,SCHWERIN ST,HERITAGE LN,,,,HERITAGE LN intersection,,29435
20369000,SCHWERIN ST,GARRISON AVE,,,,GARRISON AVE intersection,,29437
20375000,SCHWERIN ST,KELLOCH AVE,,,,KELLOCH AVE intersection,,29439
33605000,SCHWERIN ST,VELASCO AVE,,,,VELASCO AVE intersection,,29441
52196000,SCIENCE CIR,CLOUD CIR,,,,CLOUD CIR intersection,,29442
52188000,SCIENCE CIR,CLOUD CIR,,,,CLOUD CIR intersection,,29444
20737000,SCOTIA AVE,AUGUSTA ST \ SILVER AVE,,,,AUGUSTA ST \ SILVER AVE intersection,,29445
20736000,SCOTIA AVE,QUINT ST,,,,QUINT ST intersection,,29447
20623000,SCOTIA AVE,MADDUX AVE,,,,MADDUX AVE intersection,,29449
20614000,SCOTIA AVE,BRIDGEVIEW DR \ THORNTON AVE,,,,BRIDGEVIEW DR \ THORNTON AVE intersection,,29451
25443000,SCOTLAND ST,FILBERT ST,,,,FILBERT ST intersection,,29452
25442000,SCOTLAND ST,COLUMBUS AVE \ GREENWICH ST,,,,COLUMBUS AVE \ GREENWICH ST intersection,,29454
54067000,SCOTT ALY,05TH ST,,,,05TH ST intersection,,29455
54068000,SCOTT ALY,END,,,,END intersection,,29457
26006000,SCOTT ST,DUBOCE AVE,,,,DUBOCE AVE intersection,,29458
26023000,SCOTT ST,LLOYD ST,,,,LLOYD ST intersection,,29460
26024000,SCOTT ST,WALLER ST,,,,WALLER ST intersection,,29462
26025000,SCOTT ST,HAIGHT ST,,,,HAIGHT ST intersection,,29464
26028000,SCOTT ST,PAGE ST,,,,PAGE ST intersection,,29466
26027000,SCOTT ST,OAK ST,,,,OAK ST intersection,,29468
26030000,SCOTT ST,FELL ST,,,,FELL ST intersection,,29470
26052000,SCOTT ST,HAYES ST,,,,HAYES ST intersection,,29472
26051000,SCOTT ST,GROVE ST,,,,GROVE ST intersection,,29474
26055000,SCOTT ST,FULTON ST,,,,FULTON ST intersection,,29476
26066000,SCOTT ST,MCALLISTER ST,,,,MCALLISTER ST intersection,,29478
26065000,SCOTT ST,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,29480
26069000,SCOTT ST,ELM ST,,,,ELM ST intersection,,29482
26074000,SCOTT ST,TURK ST,,,,TURK ST intersection,,29484
26075000,SCOTT ST,EDDY ST,,,,EDDY ST intersection,,29486
26616000,SCOTT ST,ELLIS ST,,,,ELLIS ST intersection,,29488
26619000,SCOTT ST,OFARRELL ST,,,,OFARRELL ST intersection,,29490
26618000,SCOTT ST,GEARY BLVD,,,,GEARY BLVD intersection,,29492
26622000,SCOTT ST,POST ST,,,,POST ST intersection,,29494
26625000,SCOTT ST,SUTTER ST,,,,SUTTER ST intersection,,29496
26627000,SCOTT ST,BUSH ST,,,,BUSH ST intersection,,29498
26642000,SCOTT ST,PINE ST,,,,PINE ST intersection,,29500
26641000,SCOTT ST,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,29502
26820000,SCOTT ST,SACRAMENTO ST,,,,SACRAMENTO ST intersection,,29504
26819000,SCOTT ST,CLAY ST,,,,CLAY ST intersection,,29506
26852000,SCOTT ST,WASHINGTON ST,,,,WASHINGTON ST intersection,,29508
26853000,SCOTT ST,JACKSON ST,,,,JACKSON ST intersection,,29510
26857000,SCOTT ST,PACIFIC AVE,,,,PACIFIC AVE intersection,,29512
26856000,SCOTT ST,BROADWAY,,,,BROADWAY intersection,,29514
26869000,SCOTT ST,VALLEJO ST,,,,VALLEJO ST intersection,,29516
26870000,SCOTT ST,GREEN ST,,,,GREEN ST intersection,,29518
26873000,SCOTT ST,UNION ST,,,,UNION ST intersection,,29520
26874000,SCOTT ST,FILBERT ST,,,,FILBERT ST intersection,,29522
26966000,SCOTT ST,GREENWICH ST,,,,GREENWICH ST intersection,,29524
26973000,SCOTT ST,LOMBARD ST,,,,LOMBARD ST intersection,,29526
26972000,SCOTT ST,CHESTNUT ST,,,,CHESTNUT ST intersection,,29528
26978000,SCOTT ST,ALHAMBRA ST \ FRANCISCO ST,,,,ALHAMBRA ST \ FRANCISCO ST intersection,,29530
26990000,SCOTT ST,BAY ST,,,,BAY ST intersection,,29532
26991000,SCOTT ST,CAPRA WAY,,,,CAPRA WAY intersection,,29534
26993000,SCOTT ST,NORTH POINT ST,,,,NORTH POINT ST intersection,,29536
26992000,SCOTT ST,BEACH ST,,,,BEACH ST intersection,,29538
26995000,SCOTT ST,BEACH ST,,,,BEACH ST intersection,,29540
26997000,SCOTT ST,PRADO ST,,,,PRADO ST intersection,,29542
26996000,SCOTT ST,JEFFERSON ST,,,,JEFFERSON ST intersection,,29544
26796000,SCOTT ST,CERVANTES BLVD \ MARINA BLVD \ MARINA GREEN DR,,,,CERVANTES BLVD \ MARINA BLVD \ MARINA GREEN DR intersection,,29546
28025000,SEA VIEW TER,30TH AVE,,,,30TH AVE intersection,,29547
28028000,SEA VIEW TER,31ST AVE,,,,31ST AVE intersection,,29549
51563000,SEA VIEW TER,END,,,,END intersection,,29551
28034000,SEACLIFF AVE,END,,,,END intersection,,29552
33549000,SEACLIFF AVE,EL CAMINO DEL MAR,,,,EL CAMINO DEL MAR intersection,,29554
27665000,SEACLIFF AVE,25TH AVE,,,,25TH AVE intersection,,29555
27664000,SEACLIFF AVE,25TH AVE,,,,25TH AVE intersection,,29557
27671000,SEACLIFF AVE,26TH AVE,,,,26TH AVE intersection,,29559
28033000,SEACLIFF AVE,27TH AVE,,,,27TH AVE intersection,,29561
51421000,SEACLIFF AVE,END,,,,END intersection,,29564
54212000,SEAL COVE TER,EMERALD COVE WAY,,,,EMERALD COVE WAY intersection,,29565
54207000,SEAL COVE TER,CANDLESTICK COVE WAY,,,,CANDLESTICK COVE WAY intersection,,29567
32832000,SEAL ROCK DR,45TH AVE \ CLEMENT ST,,,,45TH AVE \ CLEMENT ST intersection,,29568
28005000,SEAL ROCK DR,ALTA MAR WAY,,,,ALTA MAR WAY intersection,,29570
28014000,SEAL ROCK DR,EL CAMINO DEL MAR,,,,EL CAMINO DEL MAR intersection,,29572
21580000,SEARS ST,LAWRENCE AVE,,,,LAWRENCE AVE intersection,,29573
21583000,SEARS ST,SICKLES AVE,,,,SICKLES AVE intersection,,29575
51127000,SEARS ST,END,,,,END intersection,,29577
51292000,SECOND DR,FIRST DR \ SOUTH DR,,,,FIRST DR \ SOUTH DR intersection,,29578
51297000,SECOND DR,NORTH DR,,,,NORTH DR intersection,,29580
24656000,SECURITY PACIFIC PL,OFARRELL ST,,,,OFARRELL ST intersection,,29581
50263000,SECURITY PACIFIC PL,END,,,,END intersection,,29583
51703000,SELBY ST,ISLAIS ST,,,,ISLAIS ST intersection,,29584
51971000,SELBY ST,NAPOLEON ST,,,,NAPOLEON ST intersection,,29586
33108000,SELBY ST,DAVIDSON AVE,,,,DAVIDSON AVE intersection,,29588
33106000,SELBY ST,EVANS AVE,,,,EVANS AVE intersection,,29590
33107000,SELBY ST,EVANS AVE,,,,EVANS AVE intersection,,29591
33110000,SELBY ST,GALVEZ AVE,,,,GALVEZ AVE intersection,,29593
33111000,SELBY ST,HUDSON AVE,,,,HUDSON AVE intersection,,29595
33239000,SELBY ST,INNES AVE,,,,INNES AVE intersection,,29597
20724000,SELBY ST,KIRKWOOD AVE,,,,KIRKWOOD AVE intersection,,29598
33629000,SELBY ST,MCKINNON AVE,,,,MCKINNON AVE intersection,,29600
20793000,SELBY ST,NEWCOMB AVE,,,,NEWCOMB AVE intersection,,29602
20758000,SELBY ST,INDUSTRIAL ST \ OAKDALE AVE,,,,INDUSTRIAL ST \ OAKDALE AVE intersection,,29604
20754000,SELBY ST,PALOU AVE,,,,PALOU AVE intersection,,29606
20756000,SELBY ST,QUESADA AVE,,,,QUESADA AVE intersection,,29608
33255000,SELBY ST,REVERE AVE,,,,REVERE AVE intersection,,29610
51719000,SELBY ST,SHAFTER AVE,,,,SHAFTER AVE intersection,,29612
51669000,SELBY ST,THOMAS AVE,,,,THOMAS AVE intersection,,29614
51668000,SELBY ST,HELENA ST,,,,HELENA ST intersection,,29616
51667000,SELBY ST,WATERVILLE ST,,,,WATERVILLE ST intersection,,29618
32872000,SELMA WAY,NORIEGA ST,,,,NORIEGA ST intersection,,29619
32873000,SELMA WAY,ORTEGA ST,,,,ORTEGA ST intersection,,29621
22090000,SEMINOLE AVE,CAYUGA AVE,,,,CAYUGA AVE intersection,,29622
22097000,SEMINOLE AVE,DELANO AVE,,,,DELANO AVE intersection,,29624
22049000,SENECA AVE,MISSION ST,,,,MISSION ST intersection,,29625
22048000,SENECA AVE,BERTITA ST,,,,BERTITA ST intersection,,29627
22053000,SENECA AVE,ALEMANY BLVD,,,,ALEMANY BLVD intersection,,29629
22058000,SENECA AVE,BANNOCK ST,,,,BANNOCK ST intersection,,29631
22059000,SENECA AVE,CAYUGA AVE,,,,CAYUGA AVE intersection,,29633
22099000,SENECA AVE,DELANO AVE,,,,DELANO AVE intersection,,29635
22104000,SENECA AVE,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,29637
22407000,SEQUOIA WAY,TERESITA BLVD,,,,TERESITA BLVD intersection,,29638
22366000,SEQUOIA WAY,OMAR WAY,,,,OMAR WAY intersection,,29640
22365000,SEQUOIA WAY,BELLA VISTA WAY,,,,BELLA VISTA WAY intersection,,29642
22101000,SERGEANT JOHN V YOUNG ST,SAN JOSE AVE,,,,SAN JOSE AVE intersection,,29643
50711000,SERGEANT JOHN V YOUNG ST,END,,,,END intersection,,29645
33490000,SERRANO DR,CRESPI DR \ GONZALEZ DR,,,,CRESPI DR \ GONZALEZ DR intersection,,29646
33491000,SERRANO DR,CRESPI DR \ VARELA AVE,,,,CRESPI DR \ VARELA AVE intersection,,29648
23042000,SERRANO DR,CARDENAS AVE,,,,CARDENAS AVE intersection,,29650
23052000,SERRANO DR,FUENTE AVE,,,,FUENTE AVE intersection,,29652
23053000,SERRANO DR,ARELLANO AVE,,,,ARELLANO AVE intersection,,29654
23095000,SERRANO DR,FONT BLVD,,,,FONT BLVD intersection,,29656
23097000,SERRANO DR,TAPIA DR,,,,TAPIA DR intersection,,29658
23098000,SERRANO DR,ARBALLO DR,,,,ARBALLO DR intersection,,29660
30061000,SERVICE ST,STEINER ST,,,,STEINER ST intersection,,29661
50303000,SERVICE ST,END,,,,END intersection,,29663
50707000,SEVERN ST,END,,,,END intersection,,29664
25657000,SEVERN ST,23RD ST,,,,23RD ST intersection,,29666
21402000,SEVILLE ST,ROLPH ST,,,,ROLPH ST intersection,,29667
21404000,SEVILLE ST,CORDOVA ST,,,,CORDOVA ST intersection,,29669
21421000,SEVILLE ST,NAPLES ST,,,,NAPLES ST intersection,,29671
26136000,SEWARD ST,DOUGLASS ST,,,,DOUGLASS ST intersection,,29672
32959000,SEWARD ST,ACME ALY,,,,ACME ALY intersection,,29674
26140000,SEWARD ST,19TH ST,,,,19TH ST intersection,,29676
26071000,SEYMOUR ST,GOLDEN GATE AVE,,,,GOLDEN GATE AVE intersection,,29677
26078000,SEYMOUR ST,TURK ST,,,,TURK ST intersection,,29679
51743000,SFGH ACCESS,END,,,,END intersection,,29680
33638000,SFGH ACCESS,23RD ST,,,,23RD ST intersection,,29682
33639000,SHAFTER AVE,ARELIOUS WALKER DR,,,,ARELIOUS WALKER DR intersection,,29683
51648000,SHAFTER AVE,END,,,,END intersection,,29685
20116000,SHAFTER AVE,GRIFFITH ST,,,,GRIFFITH ST intersection,,29687
20119000,SHAFTER AVE,HAWES ST,,,,HAWES ST intersection,,29689
20124000,SHAFTER AVE,INGALLS ST,,,,INGALLS ST intersection,,29691
20155000,SHAFTER AVE,JENNINGS ST,,,,JENNINGS ST intersection,,29693
20158000,SHAFTER AVE,KEITH ST,,,,KEITH ST intersection,,29695
20501000,SHAFTER AVE,LANE ST,,,,LANE ST intersection,,29697
20500000,SHAFTER AVE,03RD ST,,,,03RD ST intersection,,29699
51719000,SHAFTER AVE,SELBY ST,,,,SELBY ST intersection,,29700
51670000,SHAFTER AVE,END,,,,END intersection,,29702
33649000,SHAFTER AVE,ELMIRA ST,,,,ELMIRA ST intersection,,29704
20788000,SHAFTER AVE,BARNEVELD AVE \ INDUSTRIAL ST,,,,BARNEVELD AVE \ INDUSTRIAL ST intersection,,29706
50286000,SHAFTER CT,FORT MASON 12 \ FORT MASON 13,,,,FORT MASON 12 \ FORT MASON 13 intersection,,29707
50285000,SHAFTER CT,FORT MASON 10 \ FORT MASON 12,,,,FORT MASON 10 \ FORT MASON 12 intersection,,29709
51410000,SHAFTER RD,END,,,,END intersection,,29710
51199000,SHAFTER RD,RAWLES ST,,,,RAWLES ST intersection,,29712
